run_number,status,start_time_iso,elapsed_start_s,raw_csv,end_time_iso,elapsed_end_s,elapsed_midpoint_s,run_duration_s,measurement_slope_deg_per_hz,measurement_slope_std_deg_per_hz,calibration_slope_deg_per_hz,calibration_slope_std_deg_per_hz,slope_difference_deg_per_hz,slope_difference_std_deg_per_hz,group_delay_s,fibre_length_m,fibre_length_fit_std_m,fibre_length_ng_std_m,fibre_length_total_std_m,fit_r_squared,fit_residual_rms_deg,fit_points_used,fit_points_total,error_message,elapsed_midpoint_min,change_from_first_m,deviation_from_mean_m,change_from_first_mm,deviation_from_mean_mm,linear_drift_fit_m
11,ok,2026-08-04T17:30:02.509,13528.859481700001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_011_2026-08-04_17-30-02-509.csv,2026-08-04T17:52:36.492,14882.8419895,14205.850735600001,1353.9825077999994,-5.276165207398656e-06,1.19116091563699e-10,3.694144955139754e-06,9.873735165705615e-11,-8.970310162538411e-06,1.5471815627669781e-10,2.4917528229273363e-08,5.088615146551941,8.776743938733607e-05,0.003466359091656636,0.0034674700396293587,0.9999997456659344,0.0038482824966144876,501,501,,236.7641789266667,0.0010961960579525254,0.0008956307566352351,1.0961960579525254,0.8956307566352351,5.087759829843277
12,ok,2026-08-04T17:52:38.494,14884.844422700004,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_012_2026-08-04_17-52-38-494.csv,2026-08-04T18:15:19.548,16245.8983978,15565.371410250005,1361.053975099996,-5.274054225859565e-06,1.1044718301227784e-10,3.694144955139754e-06,9.873735165705615e-11,-8.96819918099932e-06,1.48147375432698e-10,2.491166439166478e-08,5.087417643629604,8.404001254014788e-05,0.00346554335397112,0.00346656219646513,0.999999781163099,0.0035682161461725926,501,501,,259.4228568375001,-0.00010130686438447611,-0.00030187216570176645,-0.10130686438447611,-0.30187216570176645,5.087750816244315
13,ok,2026-08-04T18:15:21.551,16247.901070200005,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_013_2026-08-04_18-15-21-551.csv,2026-08-04T18:37:49.555,17595.905487,16921.9032786,1348.004416799995,-5.274726058051846e-06,7.541056247744242e-11,3.694144955139754e-06,9.873735165705615e-11,-8.9688710131916e-06,1.242409656490701e-10,2.491353059219889e-08,5.0877987559220035,7.047855070433753e-05,0.0034658029672493215,0.0034665194985609967,0.9999998984170347,0.0024285783599647514,499,501,,282.03172130999997,0.00027980542801486763,7.92401266975773e-05,0.27980542801486763,0.0792401266975773,5.087741822461086
14,ok,2026-08-04T18:37:51.558,17597.908769600002,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_014_2026-08-04_18-37-51-558.csv,2026-08-04T19:00:20.674,18947.024132400005,18272.466451000004,1349.115362800003,-5.274937573914154e-06,9.660465534312136e-11,3.694144955139754e-06,9.873735165705615e-11,-8.969082529053908e-06,1.3813588978325812e-10,2.4914118136260855e-08,5.087918743168951,7.836076660638065e-05,0.0034658847024311656,0.003466770425091559,0.9999998333068404,0.003119957102846417,499,501,,304.5411075166667,0.0003997926749628178,0.00019922737364552745,0.3997926749628178,0.19922737364552745,5.087732868250211
15,ok,2026-08-04T19:00:22.677,18949.0270776,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_015_2026-08-04_19-00-22-677.csv,2026-08-04T19:22:52.953,20299.303765400004,19624.165421499998,1350.2766878000039,-5.275113979803798e-06,9.657058001512407e-11,3.694144955139754e-06,9.873735165705615e-11,-8.969258934943553e-06,1.381120615178365e-10,2.4914608152620983e-08,5.088018813474853,7.834724947373488e-05,0.0034659528702144777,0.003466838269958389,0.9999998327652764,0.0031199048582059015,501,501,,327.06942369166666,0.0004998629808641297,0.0002992976795468394,0.4998629808641297,0.2992976795468394,5.087723906509014
16,ok,2026-08-04T19:22:54.956,20301.306698800003,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_016_2026-08-04_19-22-54-956.csv,2026-08-04T19:45:19.627,21645.9772034,20973.641951100002,1344.6705045999988,-5.275543858467071e-06,9.204627441606585e-11,3.694144955139754e-06,9.873735165705615e-11,-8.969688813606825e-06,1.349873373547566e-10,2.4915802260018957e-08,5.088262672052479,7.657467768781731e-05,0.0034661189864117706,0.0034669647401188194,0.9999998480927736,0.0029737381579930133,501,501,,349.56069918500003,0.000743721558490229,0.0005431562571729387,0.743721558490229,0.5431562571729387,5.087714959502562
17,ok,2026-08-04T19:45:21.630,21647.9803671,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_017_2026-08-04_19-45-21-630.csv,2026-08-04T20:07:45.936,22992.2864581,22320.133412599997,1344.3060909999986,-5.275342177465382e-06,1.1945591037432288e-10,3.694144955139754e-06,9.873735165705615e-11,-8.969487132605136e-06,1.5497993139631798e-10,2.4915242035014267e-08,5.088148263856846,8.791593735614129e-05,0.0034660410516736007,0.0034671558638065076,0.9999997441328983,0.003859261019861965,501,501,,372.0022235433333,0.000629313362857431,0.00042874806154014067,0.629313362857431,0.42874806154014067,5.087706032287061
18,ok,2026-08-04T20:07:47.939,22994.2893708,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_018_2026-08-04_20-07-47-939.csv,2026-08-04T20:30:19.828,24346.178459600003,23670.233915200002,1351.8890888000024,-5.274497826411603e-06,9.152675529771216e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968642781551357e-06,1.3463361967791122e-10,2.4912896615420436e-08,5.087669286264832,7.637402318475283e-05,0.0034657147726599676,0.003466556198426755,0.9999998497431161,0.0029569540585215742,501,501,,394.5038985866667,0.00015033577084366812,-5.022953047362222e-05,0.15033577084366812,-0.05022953047362222,5.087697081143679
19,ok,2026-08-04T20:30:21.831,24348.1813604,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_019_2026-08-04_20-30-21-831.csv,2026-08-04T20:52:49.570,25695.9205464,25022.050953399998,1347.7391859999989,-5.274363092405011e-06,9.456829095182331e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968508047544765e-06,1.3671951676991063e-10,2.4912522354291015e-08,5.087592855294857,7.755729637644514e-05,0.003465662707966524,0.003466530418099787,0.9999998395825866,0.0030552169234805155,501,501,,417.0341825566666,7.390480086844065e-05,-0.0001266605004488497,0.07390480086844065,-0.1266605004488497,5.0876881186196945
20,ok,2026-08-04T20:52:51.573,25697.923767199998,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_020_2026-08-04_20-52-51-573.csv,2026-08-04T21:15:24.432,27050.7825378,26374.353152499996,1352.8587706000035,-5.2743060832704235e-06,8.989060433791036e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968451038410178e-06,1.335267215222628e-10,2.4912363995583827e-08,5.087560515549575,7.57461096992141e-05,0.003465640678167286,0.003466468344482951,0.9999998550566068,0.0029040949442056363,501,501,,439.5725525416666,4.1565055586723076e-05,-0.00015900024573056726,0.041565055586723076,-0.15900024573056726,5.087679152879102
21,ok,2026-08-04T21:15:26.435,27052.7853527,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_021_2026-08-04_21-15-26-435.csv,2026-08-04T21:37:55.395,28401.7450289,27727.2651908,1348.9596762,-5.27404537309168e-06,9.046116751480626e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968190328231434e-06,1.3391149106925442e-10,2.4911639800642874e-08,5.087412621693023,7.596437909116112e-05,0.0034655399330333946,0.0034663723998352818,0.9999998531962547,0.0029225281236181563,501,501,,462.12108651333335,-0.00010632880096572705,-0.0003068941022830174,-0.10632880096572705,-0.3068941022830174,5.087670183095285
22,ok,2026-08-04T21:37:57.398,28403.7482002,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_022_2026-08-04_21-37-57-398.csv,2026-08-04T22:00:17.734,29744.0842469,29073.91622355,1340.336046700002,-5.275032367574795e-06,9.550935621361686e-11,3.694144955139754e-06,9.873735165705615e-11,-8.96917732271455e-06,1.373721286745922e-10,2.491438145198486e-08,5.087972517057323,7.792750551780253e-05,0.0034659213331453154,0.0034667972804402663,0.9999998364155371,0.0030856199104159826,501,501,,484.5652703925,0.00045356656333428447,0.00025300126201699413,0.45356656333428447,0.25300126201699413,5.087661254821829
23,ok,2026-08-04T22:00:19.737,29746.087581200005,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_023_2026-08-04_22-00-19-737.csv,2026-08-04T22:22:43.294,31089.6443988,30417.865990000002,1343.5568175999942,-5.2743060685530516e-06,9.406333762836231e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968451023692806e-06,1.3637073035676112e-10,2.4912363954702238e-08,5.087560507200807,7.735943924634543e-05,0.0034656406724801144,0.0034665039670522414,0.9999998412876986,0.003038903401010961,501,501,,506.9644331666667,4.155670681882384e-05,-0.0001590085944984665,0.04155670681882384,-0.1590085944984665,5.087652344457723
24,ok,2026-08-04T22:22:45.297,31091.647474500005,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_024_2026-08-04_22-22-45-297.csv,2026-08-04T22:45:07.020,32433.370384000005,31762.50892925,1341.7229095000002,-5.274750765996443e-06,6.902043526902307e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968895721136197e-06,1.2046943636032573e-10,2.4913599225378323e-08,5.087812772072931,6.833906380626821e-05,0.0034658125150360567,0.003466486206091476,0.9999999150754725,0.002222221455389172,498,501,,529.3751488208334,0.0002938215789427545,9.325627762546418e-05,0.2938215789427545,0.09325627762546418,5.087643429497893
25,ok,2026-08-04T22:45:09.023,32435.3736713,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_025_2026-08-04_22-45-09-023.csv,2026-08-04T23:07:40.197,33786.54761740001,33110.96064435001,1351.1739461000034,-5.274423553492756e-06,9.204539802564701e-11,3.694144955139754e-06,9.873735165705615e-11,-8.96856850863251e-06,1.3498673975598104e-10,2.4912690301756973e-08,5.087627153240112,7.657433868614116e-05,0.0034656860716894495,0.0034665319235292597,0.9999998480311295,0.00297370984445187,501,501,,551.8493440725001,0.0001082027461229984,-9.236255519429193e-05,0.1082027461229984,-0.09236255519429193,5.087634489285944
26,ok,2026-08-04T23:07:42.200,33788.55063700001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_026_2026-08-04_23-07-42-200.csv,2026-08-04T23:30:04.524,35130.8743061,34459.71247155001,1342.3236690999984,-5.2744602639162606e-06,1.1176473192036378e-10,3.694144955139754e-06,9.873735165705615e-11,-8.968605219056015e-06,1.4913222292140606e-10,2.4912792275155595e-08,5.08764797807378,8.459868997239681e-05,0.0034657002575434466,0.0034667326423423192,0.9999997759453507,0.0036107821868740712,501,501,,574.3285411925002,0.0001290275797911633,-7.153772152612703e-05,0.1290275797911633,-0.07153772152612703,5.087625547084256
27,ok,2026-08-04T23:30:06.527,35132.877325299996,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_027_2026-08-04_23-30-06-527.csv,2026-08-04T23:52:35.822,36482.172663100006,35807.52499420001,1349.295337800002,-5.274301091931369e-06,9.192342357520762e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968446047071123e-06,1.3490359674240047e-10,2.491235013075312e-08,5.0875576840974785,7.652717389578608e-05,0.0034656387493852037,0.003466483571226714,0.999999848426589,0.0029697692169838637,501,501,,596.7920832366668,3.873360348993771e-05,-0.00016183169782735263,0.03873360348993771,-0.16183169782735263,5.087616611110143
28,ok,2026-08-04T23:52:37.826,36484.17604600001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_028_2026-08-04_23-52-37-826.csv,2026-08-05T00:15:21.392,37847.7422104,37165.959128200004,1363.5661643999993,-5.273214553035954e-06,1.0332893856110171e-10,3.694144955139754e-06,9.873735165705615e-11,-8.967359508175708e-06,1.429193274417883e-10,2.4909331967154747e-08,5.086941319871456,8.107428184506617e-05,0.0034652188827462233,0.0034661671835786684,0.9999998084008779,0.0033382470868352438,501,501,,619.4326521366668,-0.0005776306225326877,-0.000778195923849978,-0.5776306225326877,-0.778195923849978,5.0876076047149255
29,ok,2026-08-05T00:15:23.396,37849.7458372,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_029_2026-08-05_00-15-23-396.csv,2026-08-05T00:37:40.967,39187.31714290001,38518.53149005001,1337.571305700003,-5.274258331689684e-06,9.289585968826296e-11,3.694144955139754e-06,9.873735165705615e-11,-8.968403286829437e-06,1.3556808385261852e-10,2.4912231352303994e-08,5.08753342736504,7.69041195211297e-05,0.003465622225725504,0.0034664753936876455,0.9999998458206385,0.0029999810274344684,499,501,,641.9755248341668,1.4476871051272155e-05,-0.00018608843026601818,0.014476871051272155,-0.18608843026601818,5.0875986371831585
30,ok,2026-08-05T00:37:42.970,39189.320415099995,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_030_2026-08-05_00-37-42-970.csv,2026-08-05T01:00:26.703,40553.053508900004,39871.18696200001,1363.7330938000014,-5.2741306362527044e-06,9.214925480165029e-11,3.694144955139754e-06,9.873735165705615e-11,-8.96827559139246e-06,1.3505757947167806e-10,2.4911876642756832e-08,5.087460989185871,7.661452414726141e-05,0.003465572880916806,0.0034664196483196207,0.9999998476710779,0.0029770651443815754,501,501,,664.5197827000001,-5.7961308117526755e-05,-0.0002585266094348171,-0.057961308117526755,-0.2585266094348171,5.087589669100373
