# Rigol MHO-984 Data Acquisition
# Channel: 2
# Timestamp: 2026-07-31 10:44:50
# Measurements:
#   vpp: 0.6138
#   vmax: 0.50913
#   vmin: -0.1096
#   vtop: 0.5064
#   vamp: 0.5022
#   vavg: 0.019467
#   vrms: 0.089421
#   freq: 1000000.0
#   period: 1e-06
#   rise_time: 2.3e-08
#   fall_time: 2.3e-08
#   duty: 0.038
#   negative_duty: 0.961
#
Time (s),Channel 2 (V)
-3.61e-06,-0.017067
-3.6000000000000003e-06,-0.017067
-3.5900000000000004e-06,-0.017067
-3.5800000000000005e-06,0.0
-3.5700000000000005e-06,0.0
-3.5600000000000006e-06,0.0
-3.5500000000000003e-06,-0.017067
-3.5400000000000004e-06,-0.017067
-3.53e-06,0.0
-3.52e-06,-0.017067
-3.5100000000000003e-06,0.0
-3.5000000000000004e-06,0.017067
-3.4900000000000005e-06,-0.017067
-3.4800000000000006e-06,-0.034134
-3.4700000000000007e-06,-0.017067
-3.4600000000000003e-06,-0.017067
-3.4500000000000004e-06,0.017067
-3.44e-06,0.0
-3.43e-06,0.0
-3.4200000000000003e-06,0.0
-3.4100000000000004e-06,-0.017067
-3.4000000000000005e-06,-0.017067
-3.3900000000000006e-06,0.0
-3.3800000000000007e-06,0.0
-3.3700000000000003e-06,0.017067
-3.3600000000000004e-06,0.0
-3.35e-06,-0.034134
-3.34e-06,-0.034134
-3.3300000000000003e-06,0.0
-3.3200000000000004e-06,0.0
-3.3100000000000005e-06,0.017067
-3.3000000000000006e-06,0.017067
-3.2900000000000007e-06,-0.017067
-3.2800000000000004e-06,-0.034134
-3.2700000000000005e-06,-0.017067
-3.26e-06,-0.017067
-3.2500000000000002e-06,0.017067
-3.2400000000000003e-06,0.017067
-3.2300000000000004e-06,-0.017067
-3.2200000000000005e-06,-0.017067
-3.2100000000000006e-06,-0.051200999999999997
-3.2000000000000003e-06,-0.034134
-3.1900000000000004e-06,0.017067
-3.1800000000000005e-06,0.034134
-3.17e-06,0.0
-3.1600000000000002e-06,0.0
-3.1500000000000003e-06,-0.051200999999999997
-3.1400000000000004e-06,-0.051200999999999997
-3.1300000000000005e-06,0.034134
-3.1200000000000006e-06,0.051200999999999997
-3.1100000000000003e-06,0.017067
-3.1000000000000004e-06,0.017067
-3.0900000000000005e-06,-0.10240199999999999
-3.08e-06,-0.11946899999999999
-3.0700000000000003e-06,0.051200999999999997
-3.0600000000000003e-06,0.068268
-3.0500000000000004e-06,0.42667499999999997
-3.0400000000000005e-06,0.49494299999999997
-3.0300000000000002e-06,0.40960799999999997
-3.0200000000000003e-06,0.392541
-3.0100000000000004e-06,0.0
-3.0000000000000005e-06,0.0
-2.99e-06,-0.11946899999999999
-2.9800000000000003e-06,-0.10240199999999999
-2.9700000000000004e-06,0.034134
-2.9600000000000005e-06,0.051200999999999997
-2.9500000000000006e-06,0.034134
-2.9400000000000002e-06,0.017067
-2.9300000000000003e-06,-0.051200999999999997
-2.9200000000000004e-06,-0.051200999999999997
-2.9100000000000005e-06,0.0
-2.9e-06,0.0
-2.8900000000000003e-06,0.034134
-2.8800000000000004e-06,0.017067
-2.8700000000000005e-06,-0.034134
-2.8600000000000006e-06,-0.034134
-2.8500000000000002e-06,-0.017067
-2.8400000000000003e-06,-0.017067
-2.8300000000000004e-06,0.017067
-2.8200000000000005e-06,0.017067
-2.81e-06,-0.017067
-2.8000000000000003e-06,-0.034134
-2.7900000000000004e-06,-0.017067
-2.7800000000000005e-06,-0.017067
-2.77e-06,0.017067
-2.7600000000000003e-06,0.017067
-2.7500000000000004e-06,-0.017067
-2.7400000000000004e-06,-0.017067
-2.7300000000000005e-06,-0.034134
-2.7200000000000002e-06,-0.017067
-2.7100000000000003e-06,0.0
-2.7000000000000004e-06,0.017067
-2.6900000000000005e-06,0.0
-2.68e-06,0.0
-2.6700000000000003e-06,-0.034134
-2.6600000000000004e-06,-0.017067
-2.6500000000000005e-06,0.0
-2.6400000000000006e-06,0.0
-2.6300000000000002e-06,0.017067
-2.6200000000000003e-06,0.0
-2.6100000000000004e-06,-0.034134
-2.6000000000000005e-06,-0.017067
-2.59e-06,0.0
-2.5800000000000003e-06,-0.017067
-2.5700000000000004e-06,0.017067
-2.5600000000000005e-06,0.0
-2.55e-06,-0.017067
-2.5400000000000002e-06,-0.017067
-2.5300000000000003e-06,0.0
-2.5200000000000004e-06,-0.017067
-2.5100000000000005e-06,0.0
-2.5e-06,0.0
-2.4900000000000003e-06,-0.017067
-2.4800000000000004e-06,0.0
-2.4700000000000005e-06,-0.017067
-2.46e-06,-0.017067
-2.4500000000000003e-06,0.0
-2.4400000000000004e-06,0.017067
-2.4300000000000005e-06,-0.017067
-2.4200000000000005e-06,0.0
-2.4100000000000002e-06,-0.034134
-2.4000000000000003e-06,-0.017067
-2.3900000000000004e-06,0.0
-2.3800000000000005e-06,0.017067
-2.37e-06,0.0
-2.3600000000000003e-06,0.0
-2.3500000000000004e-06,-0.034134
-2.3400000000000005e-06,-0.017067
-2.3300000000000006e-06,0.0
-2.3200000000000002e-06,0.0
-2.3100000000000003e-06,0.017067
-2.3000000000000004e-06,0.0
-2.2900000000000005e-06,-0.034134
-2.28e-06,-0.034134
-2.2700000000000003e-06,-0.017067
-2.2600000000000004e-06,-0.017067
-2.2500000000000005e-06,0.017067
-2.24e-06,0.017067
-2.2300000000000002e-06,-0.017067
-2.2200000000000003e-06,-0.017067
-2.2100000000000004e-06,-0.034134
-2.2000000000000005e-06,-0.034134
-2.19e-06,0.034134
-2.1800000000000003e-06,0.034134
-2.1700000000000004e-06,0.0
-2.1600000000000005e-06,-0.017067
-2.15e-06,-0.051200999999999997
-2.1400000000000003e-06,-0.051200999999999997
-2.1300000000000004e-06,0.034134
-2.1200000000000005e-06,0.051200999999999997
-2.1100000000000006e-06,0.017067
-2.1000000000000002e-06,0.017067
-2.0900000000000003e-06,-0.11946899999999999
-2.0800000000000004e-06,-0.11946899999999999
-2.0700000000000005e-06,0.051200999999999997
-2.06e-06,0.068268
-2.0500000000000003e-06,0.42667499999999997
-2.0400000000000004e-06,0.49494299999999997
-2.0300000000000005e-06,0.392541
-2.02e-06,0.375474
-2.0100000000000002e-06,0.017067
-2.0000000000000003e-06,0.0
-1.9900000000000004e-06,-0.11946899999999999
-1.9800000000000005e-06,-0.10240199999999999
-1.97e-06,0.034134
-1.9600000000000003e-06,0.051200999999999997
-1.9500000000000004e-06,0.017067
-1.9400000000000005e-06,0.017067
-1.93e-06,-0.051200999999999997
-1.9200000000000003e-06,-0.051200999999999997
-1.9100000000000003e-06,0.0
-1.9000000000000004e-06,0.0
-1.8900000000000005e-06,0.034134
-1.8800000000000002e-06,0.034134
-1.8700000000000003e-06,-0.034134
-1.8600000000000004e-06,-0.051200999999999997
-1.8500000000000005e-06,-0.017067
-1.8400000000000002e-06,-0.017067
-1.8300000000000003e-06,0.017067
-1.8200000000000004e-06,0.017067
-1.8100000000000005e-06,-0.017067
-1.8000000000000006e-06,-0.017067
-1.7900000000000002e-06,-0.034134
-1.7800000000000003e-06,-0.017067
-1.7700000000000004e-06,0.017067
-1.7600000000000005e-06,0.017067
-1.7500000000000002e-06,-0.017067
-1.7400000000000003e-06,0.0
-1.7300000000000004e-06,-0.017067
-1.7200000000000005e-06,-0.017067
-1.7100000000000001e-06,0.0
-1.7000000000000002e-06,0.017067
-1.6900000000000003e-06,0.0
-1.6800000000000004e-06,0.0
-1.6700000000000005e-06,-0.034134
-1.6600000000000002e-06,-0.017067
-1.6500000000000003e-06,0.0
-1.6400000000000004e-06,-0.017067
-1.6300000000000005e-06,0.017067
-1.6200000000000002e-06,0.0
-1.6100000000000003e-06,-0.017067
-1.6000000000000004e-06,-0.017067
-1.5900000000000004e-06,0.0
-1.5800000000000005e-06,0.0
-1.5700000000000002e-06,0.017067
-1.5600000000000003e-06,0.0
-1.5500000000000004e-06,-0.017067
-1.5400000000000005e-06,-0.017067
-1.5300000000000002e-06,0.0
-1.5200000000000003e-06,-0.017067
-1.5100000000000004e-06,0.017067
-1.5000000000000005e-06,0.017067
-1.4900000000000001e-06,-0.017067
-1.4800000000000002e-06,-0.017067
-1.4700000000000003e-06,-0.017067
-1.4600000000000004e-06,-0.017067
-1.4500000000000005e-06,0.0
-1.4400000000000002e-06,0.017067
-1.4300000000000003e-06,0.0
-1.4200000000000004e-06,0.0
-1.4100000000000005e-06,-0.034134
-1.4000000000000001e-06,-0.017067
-1.3900000000000002e-06,0.0
-1.3800000000000003e-06,0.0
-1.3700000000000004e-06,0.017067
-1.3600000000000005e-06,0.0
-1.3500000000000002e-06,-0.017067
-1.3400000000000003e-06,-0.034134
-1.3300000000000004e-06,0.0
-1.3200000000000005e-06,0.0
-1.3100000000000002e-06,0.017067
-1.3000000000000003e-06,0.017067
-1.2900000000000004e-06,-0.034134
-1.2800000000000005e-06,-0.034134
-1.2700000000000001e-06,-0.017067
-1.2600000000000002e-06,-0.017067
-1.2500000000000003e-06,0.017067
-1.2400000000000004e-06,0.017067
-1.2300000000000005e-06,-0.034134
-1.2200000000000002e-06,-0.034134
-1.2100000000000003e-06,-0.017067
-1.2000000000000004e-06,-0.017067
-1.1900000000000005e-06,0.017067
-1.1800000000000006e-06,0.034134
-1.1700000000000007e-06,-0.017067
-1.16e-06,-0.017067
-1.15e-06,-0.051200999999999997
-1.14e-06,-0.051200999999999997
-1.1300000000000002e-06,0.034134
-1.1200000000000003e-06,0.068268
-1.1100000000000004e-06,0.034134
-1.1000000000000005e-06,0.017067
-1.0900000000000006e-06,-0.11946899999999999
-1.0800000000000007e-06,-0.11946899999999999
-1.07e-06,0.051200999999999997
-1.06e-06,0.068268
-1.0500000000000001e-06,0.42667499999999997
-1.0400000000000002e-06,0.49494299999999997
-1.0300000000000003e-06,0.392541
-1.0200000000000004e-06,0.375474
-1.0100000000000005e-06,0.017067
-1.0000000000000006e-06,0.0
-9.900000000000007e-07,-0.11946899999999999
-9.8e-07,-0.10240199999999999
-9.7e-07,0.034134
-9.600000000000001e-07,0.068268
-9.500000000000002e-07,0.034134
-9.400000000000003e-07,0.017067
-9.300000000000004e-07,-0.051200999999999997
-9.200000000000005e-07,-0.051200999999999997
