BinCenter (ps);Histo01;Histo02;Histo03;Histo04
39950;172;0;0;0
40050;178;0;0;0
40150;193;0;0;0
40250;175;0;0;0
40350;182;0;0;0
40450;184;0;0;0
40550;184;0;0;0
40650;160;0;0;0
40750;159;0;0;0
40850;196;0;0;0
40950;178;0;0;0
41050;185;0;0;0
41150;160;0;0;0
41250;160;0;0;0
41350;178;0;0;0
41450;177;0;0;0
41550;201;0;0;0
41650;184;0;0;0
41750;167;0;0;0
41850;170;0;0;0
41950;177;0;0;0
42050;168;0;0;0
42150;195;0;0;0
42250;168;0;0;0
42350;167;0;0;0
42450;199;0;0;0
42550;183;0;0;0
42650;155;0;0;0
42750;165;0;0;0
42850;161;0;0;0
42950;169;0;0;0
43050;178;0;0;0
43150;163;0;0;0
43250;181;0;0;0
43350;156;0;0;0
43450;162;0;0;0
43550;168;0;0;0
43650;151;0;0;0
43750;155;0;0;0
43850;166;0;0;0
43950;170;0;0;0
44050;181;0;0;0
44150;185;0;0;0
44250;169;0;0;0
44350;163;0;0;0
44450;168;0;0;0
44550;167;0;0;0
44650;184;0;0;0
44750;175;0;0;0
44850;164;0;0;0
44950;178;0;0;0
45050;179;0;0;0
45150;182;0;0;0
45250;196;0;0;0
45350;192;0;0;0
45450;156;0;0;0
45550;161;0;0;0
45650;181;0;0;0
45750;182;0;0;0
45850;199;0;0;0
45950;179;0;0;0
46050;174;0;0;0
46150;166;0;0;0
46250;172;0;0;0
46350;171;0;0;0
46450;161;0;0;0
46550;205;0;0;0
46650;184;0;0;0
46750;178;0;0;0
46850;171;0;0;0
46950;175;0;0;0
47050;169;0;0;0
47150;174;0;0;0
47250;167;0;0;0
47350;155;0;0;0
47450;189;0;0;0
47550;169;0;0;0
47650;155;0;0;0
47750;168;0;0;0
47850;192;0;0;0
47950;195;0;0;0
48050;193;0;0;0
48150;146;0;0;0
48250;176;0;0;0
48350;185;0;0;0
48450;201;0;0;0
48550;169;0;0;0
48650;196;0;0;0
48750;192;0;0;0
48850;209;0;0;0
48950;184;0;0;0
49050;178;0;0;0
49150;207;0;0;0
49250;195;0;0;0
49350;226;0;0;0
49450;227;0;0;0
49550;304;0;0;0
49650;436;0;0;0
49750;950;0;0;0
49850;2106;0;0;0
49950;3831;0;0;0
