BinCenter (ps);Histo01;Histo02;Histo03;Histo04
47150;500;0;0;0
47250;539;0;0;0
47350;513;0;0;0
47450;504;0;0;0
47550;485;0;0;0
47650;450;0;0;0
47750;457;0;0;0
47850;525;0;0;0
47950;501;0;0;0
48050;480;0;0;0
48150;460;0;0;0
48250;499;0;0;0
48350;511;0;0;0
48450;486;0;0;0
48550;495;0;0;0
48650;484;0;0;0
48750;470;0;0;0
48850;469;0;0;0
48950;489;0;0;0
49050;526;0;0;0
49150;480;0;0;0
49250;533;0;0;0
49350;586;0;0;0
49450;784;0;0;0
49550;1003;0;0;0
49650;1858;0;0;0
49750;3696;0;0;0
49850;7967;0;0;0
49950;13868;0;0;0
